,date,manner_of_death,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021
10,2015-08-08,shot,46,M,White,Spokane,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
11,2015-08-19,shot,29,M,White,Hunters,WA,True,attack,Foot,False,True,18-29,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
12,2015-08-21,shot,57,M,White,Grapeview,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
13,2015-10-15,shot,35,M,White,Kirkland,WA,False,attack,Foot,False,True,30-44,armed,gun,gun,1,10,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
14,2015-12-06,shot,35,M,White,Seattle,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,12,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
15,2015-12-13,shot,30,M,Other,Thurston County,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,12,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
16,2016-01-05,shot,29,M,White,Olympia,WA,False,attack,Foot,False,True,18-29,undetermined,undetermined,undetermined,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
17,2016-01-10,shot,37,M,White,Kelso,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
18,2016-01-13,shot,60,M,White,Cle Elum,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
19,2016-01-28,shot,32,F,Native,Tacoma,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
20,2016-02-20,shot,41,M,Black,Lakewood,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,2,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
21,2016-02-21,shot,46,M,Black,Seattle,WA,False,other,Not fleeing,False,True,45-59,undetermined,undetermined,undetermined,1,2,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
22,2016-03-13,shot,38,F,White,Vancouver,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,3,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
23,2016-04-28,tasered and shot,45,M,White,Spokane,WA,True,other,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,4,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
24,2016-05-04,shot,39,M,White,Burien,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,5,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
25,2016-05-07,shot,29,M,White,Lake Stevens,WA,True,other,Not fleeing,False,True,18-29,armed,gun,gun,1,5,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
26,2016-06-10,shot,50,M,Hispanic,Yakima,WA,False,attack,Not fleeing,True,True,45-59,armed,gun,gun,1,6,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
27,2016-06-13,shot,43,M,White,Vancouver,WA,False,other,Car,False,True,30-44,undetermined,undetermined,undetermined,1,6,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
28,2016-07-31,shot,38,M,Hispanic,Wapato,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,7,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
29,2016-08-11,shot,59,M,White,Tukwila,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
30,2016-08-17,shot,27,M,Black,Kelso,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,other weapon,1,8,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
32,2016-09-03,shot,25,M,White,East Wenatchee,WA,False,undetermined,Not fleeing,False,True,18-29,undetermined,undetermined,undetermined,1,9,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
33,2016-09-09,shot,64,M,White,Auburn,WA,True,other,Not fleeing,False,True,60-75,armed,other weapon,other weapon,1,9,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
34,2016-10-08,shot,21,M,Hispanic,Federal Way,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
35,2016-10-11,shot,44,M,Asian,Seattle,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
36,2016-10-13,shot,38,M,White,Kent,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
37,2016-10-21,shot,23,F,Native,Muckleshoot Indian Reservation,WA,True,other,Not fleeing,False,True,18-29,armed,gun,gun,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
39,2016-12-01,shot,38,M,Black,Tacoma,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
40,2016-12-17,shot,44,M,Native,Everett,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
41,2016-12-18,shot,37,M,White,Ridgefield,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
42,2017-01-15,tasered and shot,33,M,White,Spokane,WA,False,other,Foot,True,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
43,2017-01-28,shot,17,M,Black,Des Moines,WA,False,attack,Not fleeing,False,True,Under 18,armed,gun,gun,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
44,2017-01-30,shot,36,M,White,Lynnwood,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
45,2017-02-09,tasered and shot,33,M,Hispanic,Lake Stevens,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
46,2017-02-10,shot,25,M,White,Vancouver,WA,False,other,Foot,False,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
47,2017-03-12,shot,28,M,Hispanic,Bellingham,WA,False,attack,Foot,True,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
48,2017-03-14,shot,36,M,White,Fife,WA,False,attack,Not fleeing,False,True,30-44,undetermined,undetermined,undetermined,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
49,2017-03-23,shot,51,M,Black,Des Moines,WA,True,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
50,2017-04-14,shot,33,M,White,Spanaway,WA,True,other,Car,False,True,30-44,armed,gun,gun,1,4,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
51,2017-04-20,shot,19,M,Black,Seattle,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,4,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
53,2017-06-10,shot,25,M,Other,Auburn,WA,False,other,Car,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
54,2017-06-14,tasered and shot,20,M,Asian,Burien,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,other weapon,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
55,2017-06-18,shot,30,F,Black,Seattle,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
56,2017-06-24,shot,20,M,Black,Kent,WA,False,other,Car,False,True,18-29,undetermined,undetermined,undetermined,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
57,2017-07-03,shot,53,M,White,Spokane,WA,False,other,Not fleeing,True,True,45-59,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
58,2017-07-04,shot,46,M,White,Richland,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
59,2017-07-08,shot,22,M,Asian,Lacey,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
60,2017-07-09,shot,34,M,White,Bainbridge Island,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
61,2017-07-27,shot,31,M,White,Wenatchee,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
62,2017-08-09,shot,20,M,Black,Kent,WA,False,attack,Car,False,True,18-29,undetermined,undetermined,undetermined,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
63,2017-08-12,shot,35,M,Hispanic,Frederickson,WA,False,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
64,2017-08-13,shot,46,M,Black,Kennewick,WA,True,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
65,2017-09-03,shot,47,M,White,Longview,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
66,2017-09-10,shot,58,M,Hispanic,Tacoma,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
67,2017-09-17,shot,37,M,White,Oak Harbor,WA,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
68,2017-09-21,shot,40,M,White,Tacoma,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
69,2017-10-04,shot,34,M,White,Spokane,WA,True,other,Not fleeing,False,True,30-44,undetermined,undetermined,undetermined,1,10,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
71,2017-10-30,shot,33,M,Native,Federal Way,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,10,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
73,2017-11-28,shot,59,M,White,Hillyard,WA,False,attack,Foot,False,True,45-59,armed,gun,gun,1,11,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
79,2017-12-26,shot,36,M,Native,Spokane,WA,False,attack,Foot,True,True,30-44,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
80,2018-01-07,shot,27,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
81,2018-01-12,shot,36,M,Hispanic,Puyallup,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
82,2018-01-21,shot,35,M,White,Ebey Island,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
84,2018-03-16,shot,28,M,White,Elk Plain,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
85,2018-04-06,shot,36,M,White,Federal Way,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,4,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
86,2018-06-07,shot,50,M,White,Benton City,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
87,2018-06-14,shot,40,M,Hispanic,Kirkland,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,6,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
88,2018-07-25,shot,54,M,White,Spokane,WA,False,attack,Car,False,True,45-59,armed,other weapon,other weapon,1,7,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
89,2018-07-26,shot,18,M,Hispanic,Kent Station,WA,False,other,Not fleeing,False,True,Under 18,armed,gun,gun,1,7,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
90,2018-08-03,shot,31,M,White,Deer Park,WA,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
92,2018-09-03,shot,40,M,White,Cheney,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
95,2018-09-18,shot,37,M,White,Marysville,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
97,2018-10-17,shot,29,M,White,Longview,WA,False,attack,Foot,False,True,18-29,armed,gun,gun,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
98,2018-10-20,shot,50,M,White,Spanaway,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
99,2018-10-23,shot,24,M,White,Alderwood Manor,WA,False,attack,Car,False,True,18-29,unarmed,unarmed,unarmed,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
100,2018-11-28,shot,33,M,Hispanic,Vancouver,WA,False,attack,Car,False,True,30-44,armed,other weapon,other weapon,1,11,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
101,2018-12-31,shot,36,M,Asian,Seattle,WA,False,attack,Foot,True,True,30-44,armed,gun,gun,1,12,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
102,2019-01-07,shot,38,M,Hispanic,Kent,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
103,2019-01-07,shot,35,M,White,Spokane,WA,False,attack,Not fleeing,True,True,30-44,armed,other weapon,other weapon,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
105,2019-01-23,shot,46,M,Black,Spokane,WA,False,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
106,2019-02-07,shot,34,M,Hispanic,Seattle,WA,False,attack,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
107,2019-02-19,shot,16,M,Asian,Vancouver,WA,False,attack,Not fleeing,False,True,Under 18,armed,other weapon,knife/cutting instrument,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
108,2019-02-28,shot,29,M,White,Vancouver,WA,True,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
110,2019-03-07,shot,36,M,Hispanic,Vancouver,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
112,2019-03-19,shot,29,M,Hispanic,Kittitas,WA,False,attack,Car,False,True,18-29,armed,gun,gun,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
113,2019-04-16,shot,42,M,White,Montesano,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,4,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
114,2019-05-04,shot,25,M,White,Spokane,WA,True,other,Foot,False,True,18-29,unarmed,unarmed,unarmed,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
115,2019-05-09,shot,31,M,Black,Seattle,WA,True,attack,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
116,2019-05-20,shot,26,M,Black,Auburn,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
117,2019-05-31,shot,26,M,Asian,Auburn,WA,True,other,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
118,2019-06-15,shot,20,M,Black,Renton,WA,True,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
119,2019-06-15,shot,38,M,Hispanic,Toppenish,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
120,2019-06-18,shot,18,M,Hispanic,Centralia,WA,False,other,Not fleeing,False,True,Under 18,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
121,2019-07-03,shot,39,M,Native,Poulsbo,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
122,2019-07-13,shot,69,M,White,Tacoma,WA,True,other,Not fleeing,False,True,60-75,armed,gun,gun,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
123,2019-07-13,shot,35,M,Hispanic,Kirkland,WA,False,attack,Not fleeing,False,True,30-44,unarmed,unarmed,unarmed,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
124,2019-07-21,shot,28,M,Black,Tacoma,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
127,2019-09-08,shot,24,M,Black,Tacoma,WA,False,undetermined,Foot,False,True,18-29,unarmed,unarmed,toy weapon,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
128,2019-09-09,shot,41,M,White,Aberdeen,WA,False,attack,Foot,False,True,30-44,armed,gun,gun,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
129,2019-10-23,shot,61,M,White,Spokane,WA,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,10,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
130,2019-11-03,shot,56,M,White,Parkland,WA,True,other,Not fleeing,True,True,45-59,armed,other weapon,knife/cutting instrument,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
131,2019-11-09,shot,44,M,White,Everett,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
132,2019-11-18,shot,28,M,Black,Franklin County,WA,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
133,2019-11-22,shot,36,M,White,Black Diamond,WA,False,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
134,2019-11-29,shot,36,M,White,Eatonville,WA,False,other,Car,False,True,30-44,undetermined,undetermined,undetermined,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
135,2019-12-12,shot,43,M,White,Renton,WA,False,other,Not fleeing,False,True,30-44,unarmed,unarmed,toy weapon,1,12,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
136,2019-12-14,shot,18,M,Hispanic,Pasco,WA,False,attack,Not fleeing,False,True,Under 18,armed,other weapon,knife/cutting instrument,1,12,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
137,2019-12-31,shot,23,M,Black,Federal Way,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,12,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
138,2020-01-10,tasered and shot,25,M,Asian,Spokane,WA,False,other,Car,False,True,18-29,unarmed,unarmed,unarmed,1,1,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
139,2020-01-21,tasered and shot,60,M,Asian,Lacey,WA,False,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,1,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
140,2020-02-09,shot,45,M,White,Kennewick,WA,False,attack,Foot,False,True,30-44,armed,gun,gun,1,2,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
141,2020-02-28,shot,22,M,Hispanic,Moses Lake,WA,False,attack,Other,False,True,18-29,armed,gun,gun,1,2,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
142,2020-03-03,shot,39,M,White,Riverside,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,3,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
143,2020-03-24,shot,32,F,White,Shelton,WA,False,attack,Car,False,True,30-44,armed,other weapon,other weapon,1,3,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
146,2020-04-28,tasered and shot,50,M,White,Vancouver,WA,False,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,4,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
147,2020-05-01,shot,24,M,Black,Seattle,WA,False,attack,Foot,True,True,18-29,unarmed,unarmed,unarmed,1,5,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
148,2020-05-01,shot,26,M,Black,Lakewood,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,5,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
149,2020-05-06,shot,20,M,White,Renton,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,5,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
150,2020-05-17,shot,25,M,Hispanic,Pasco,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,5,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
151,2020-05-19,tasered and shot,57,M,Black,Seattle,WA,False,undetermined,Foot,True,True,45-59,armed,other weapon,knife/cutting instrument,1,5,2020,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
152,2020-07-16,shot,23,M,White,Shoreline,WA,False,other,Foot,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2020,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
153,2020-07-29,shot,25,M,Hispanic,Bothell,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2020,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
154,2020-08-04,shot,36,M,White,Port Orchard,WA,True,undetermined,Not fleeing,False,True,30-44,unarmed,unarmed,unarmed,1,8,2020,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
156,2020-09-03,shot,48,M,White,Lacey,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2020,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
158,2020-09-19,shot,32,M,White,Auburn,WA,True,undetermined,Not fleeing,False,True,30-44,unarmed,unarmed,unarmed,1,9,2020,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
